,ROUTE_ID,NUM_OF_STOPS
1194,1000052,13
1195,1000064,37
1196,1000065,19
1197,1000066,5
1198,1000067,18
1199,1000068,16
1200,1000069,36
1201,1000077,31
1202,1000079,25
1203,1000081,9
1204,1000082,37
1205,1000083,31
1206,1000084,32
1207,1000092,6
1208,1000093,6
1209,1000094,6
1210,1000095,7
1211,1000096,11
1212,1000097,18
1213,8800,29
1214,8801,24
1215,8802,16
1216,8803,32
1217,8804,22
1218,1000007,20
1219,1000008,23
1220,1000009,26
1221,1000010,22
1222,1000011,15
1223,1000022,24
1224,1000023,26
1225,1000024,11
1226,1000025,25
1227,1000026,25
1228,1000035,18
1229,1000037,35
1230,1000044,20
1231,1000045,15
1232,1000046,17
1233,1000053,23
1234,1000054,33
1235,1000055,29
1236,1000059,18
1237,1000061,21
1238,1000063,43
1239,1000070,38
1240,1000071,33
1241,1000073,20
1242,1000074,29
1243,1000075,21
1244,1000076,19
1245,1000085,20
1246,1000086,22
1247,1000088,19
1248,1000089,23
1249,1000090,27
1250,1000091,6
1251,1000099,16
1252,1000100,36
1253,1000102,12
1254,1000103,11
1255,1000104,15
1256,1000105,9
1257,1000106,6
1258,1000116,20
1259,1000117,32
1260,1000124,40
1261,1000154,13
1262,1000190,9
1263,1000192,16
1264,1000193,14
1265,1000195,16
1266,1000203,11
1267,1000204,28
1268,1000205,20
1269,1000206,21
1270,1000207,8
1271,1000208,4
1272,1000216,28
1273,1000217,20
1274,1000218,9
1275,1000219,11
1276,1000220,21
1277,1000231,24
1278,1000233,14
1279,1000234,6
1280,1000235,13
1281,1000236,54
1282,1000237,15
1283,1000244,22
1284,1000245,12
1285,1000246,14
1286,1000247,8
1287,1000248,42
1288,1000249,22
1289,1000257,24
1290,1000258,23
1291,1000259,4
1292,1000260,27
1293,1000261,31
1294,1000262,41
1295,1000270,6
1296,1000271,26
1297,1000272,24
1298,1000273,19
1299,1000274,36
1300,1000275,34
1301,1000132,25
1302,1000142,20
1303,1000149,15
1304,1000150,11
1305,1000152,5
1306,1000196,20
1307,1000197,15
1308,1000198,25
1309,1000199,30
1310,1000200,36
1311,1000201,8
1312,1000209,30
1313,1000210,19
1314,1000211,26
1315,1000212,29
1316,1000213,23
1317,1000215,14
1318,1000221,17
1319,1000223,24
1320,1000225,34
1321,1000228,17
1322,1000229,15
1323,1000230,31
1324,1000238,26
1325,1000239,20
1326,1000240,26
1327,1000241,26
1328,1000242,21
1329,1000243,26
1330,1000250,14
1331,1000251,41
1332,1000252,12
1333,1000254,15
1334,1000255,40
1335,1000256,41
1336,1000263,36
1337,1000264,30
1338,1000265,31
1339,1000267,9
1340,1000268,26
1341,1000269,13
1342,1000276,48
1343,1000277,23
1344,1000278,20
1345,1000279,13
1346,1000280,27
1347,1000281,13
1348,1000282,44
1349,1000283,19
1350,1000284,18
1351,1000285,19
1352,1000286,24
1353,1000287,24
1354,1000294,12
1355,1000295,36
1356,1000296,36
1357,1000300,19
1358,1000304,26
1359,1000305,21
1360,1000312,17
1361,1000313,25
1362,1000314,40
1363,1000315,29
